ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO,dc_reimerdes,dc_JSCwhipple,dc_JSCwhipple_mod
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.3,0.5215657325964769,0.4958041195599541,0.4347096360199737,0.4816701405458724,0.4865356198214691
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.4,0.5269009345465622,0.5016387430555982,0.4382783062950383,0.4841353356021739,0.4891351074307936
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.5,0.5322361364966475,0.5074733665512421,0.4418469765701028,0.48660053065847547,0.49173459504011807
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.6,0.5375713384467328,0.5133079900468861,0.4454156468451673,0.48906572571477697,0.49433408264944256
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.7,0.5429065403968182,0.5191426135425301,0.4489843171202319,0.4915309207710785,0.4969335702587671
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.8,0.5482417423469035,0.5249772370381741,0.4525529873952965,0.49399611582738,0.4995330578680916
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.9,0.5535769442969888,0.5308118605338181,0.45612165767036106,0.49646131088368156,0.5021325454774161
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.0,0.5589121462470741,0.5366464840294621,0.4596903279454256,0.49892650593998306,0.5047320330867406
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.1,0.5642473481971594,0.5424811075251061,0.4632589982204901,0.5013917009962846,0.5073315206960651
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.2,0.5695825501472447,0.54831573102075,0.4668276684955547,0.5038568960525861,0.5099310083053896
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.3,0.5749177520973301,0.5541503545163942,0.47039633877061926,0.5063220911088876,0.5125304959147141
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.4,0.5802529540474154,0.5599849780120381,0.47396500904568384,0.5087872861651892,0.5151299835240386
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.5,0.5855881559975007,0.5658196015076821,0.47753367932074836,0.5112524812214907,0.5177294711333631
