ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.4,0.2498382841452425,0.44218262228564953
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.5,0.2489417407022736,0.44677588504218957
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.6,0.24804519725930466,0.4513691477987296
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.7,0.24714865381633574,0.45596241055526965
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.8,0.2462521103733668,0.46055567331180974
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,8.9,0.2453555669303979,0.4651489360683498
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.0,0.24445902348742898,0.4697421988248898
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.1,0.24356248004446007,0.47433546158142986
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.2,0.24266593660149116,0.4789287243379699
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.3,0.24176939315852222,0.48352198709451
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.4,0.2408728497155533,0.48811524985105004
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.5,0.2399763062725844,0.4927085126075901
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.6,0.2390797628296155,0.4973017753641301
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.700000000000001,0.23818321938664655,0.5018950381206703
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.8,0.23728667594367764,0.5064883008772103
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,9.9,0.23638662052562348,0.5110409829900796
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,10.0,0.2348080714621479,0.507628339485541
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,10.1,0.2332556143104122,0.5042721037260514
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,10.200000000000001,0.231728565805698,0.5009707985710158
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,10.3,0.2302262670463526,0.49772299955001564
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,10.4,0.2287480823988032,0.49452733249557423
