source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-65222,D-1404,Al,2.796,0.318,0,7.56,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-948,Al2017,2.796,0.318,0,7.56,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-979,Al2017,2.796,0.318,0,7.56,Al1100-O,2.71,0.16,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1314,Al,2.796,0.318,0,7.59,Al1100-O,2.71,0.952,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-904,Al2017,2.796,0.318,0,7.6,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1397,Al,2.796,0.318,0,7.62,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1368,Al,2.796,0.318,0,7.65,Al7075-T6,2.81,0.635,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,D-980,Al2017,2.796,0.318,0,7.65,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-878,Al2017,2.796,0.318,0,7.68,Al1100-O,2.71,0.0534,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,D-973,Al2017,2.796,0.16,0,7.78,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.0407,NP,0
CR-65222,D-905,Al2017,2.796,0.318,0,7.8,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-975,Al2017,2.796,0.16,0,7.87,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.0407,NP,0
CR-65222,D-972,Al2017,2.796,0.16,0,7.89,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.0813,NP,0
CR-65222,D-1394,Inlyte,0.79,0.49,0,7.91,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,C-722,Al,2.796,0.318,0,7.93,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.475,NP,0
Reimerdes_2006,4444,Al 99.9%,2.7,0.3,0,7,Al2024-T3,2.78,0.046,10,AA7075-T6,2.81,75,0.2,NP,0
Reimerdes_2006,4443,Al 99.9%,2.7,0.45,0,7.11,Al2024-T3,2.78,0.1,10,AA7075-T6,2.81,75,0.2,NP,0
Reimerdes_2006,4442,Al 99.9%,2.7,0.4,0,7.17,Al2024-T3,2.78,0.1,10,AA7075-T6,2.81,75,0.2,NP,0
Ryan_2011,HD9920118,Al2017-T4,2.796,0.3175,0,2.6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4572,NP,0
Ryan_2011,HD9920117,Al2017-T4,2.796,0.3175,0,3,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4572,NP,0
Ryan_2011,HD9920060,Al2017-T4,2.796,0.3175,0,4.7,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.254,NP,0
Ryan_2011,HD9920057,Al2017-T4,2.796,0.3175,0,5.5,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.3175,NP,0
Ryan_2011,HD9920159,Al2017-T4,2.796,0.3175,0,6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4064,NP,0
Ryan_2011,HD9920151,Al2017-T4,2.796,0.3175,0,6.6,Al6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4064,NP,0
