source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,B184,0.476,Al 2017-T4,2.796,0.15837,0,7.59,Al 6061-T6,0.229,2.713,5.08,Al 6061-T6,0.102,2.713,36,C4,P,1,0
TP-2003-210788,B294,0.634,Al 2017-T4,2.796,0.37409,0,7.51,Al 6061-T6,0.127,2.713,15.24,Al 2219-T87,0.318,2.852,52,C2,NP,0,0
TP-2003-210788,A358,0.04,Glass,2.25,0.00007,0,5.56,Alclad 7075-T6,0.015,2.78,2.54,Al 2024-T4,0.015,2.796,47,E1,NP,0,0
TP-2003-210788,A337,0.079,Glass,2.25,0.00058,0,5.44,Alclad 7075-T6,0.025,2.78,2.54,Al 2024-T4,0.025,2.796,47,E1,NP,0,0
TP-2003-210788,AV26,0.127,Glass,2.25,0.00239,0,5.72,Alclad 7075-T6,0.042,2.78,2.54,Al 7178-T6,0.042,2.83,70,D1,NP,0,0
TP-2003-210788,4695,0.159,Glass,2.25,0.00469,0,7.56,Alclad 7075-T6,0.051,2.78,5.09,Al 2024-T3,0.064,2.796,47,E2,NP,0,0
TP-2003-210788,4709,0.159,Glass,2.25,0.00469,0,7.26,Alclad 7075-T6,0.025,2.78,5.09,Al 2024-T3,0.064,2.796,47,E2,NP,0,0
TP-2003-210788,4691,0.159,Glass,2.25,0.00469,0,7.25,Alclad 7075-T6,0.051,2.78,7.62,Al 2024-T3,0.041,2.796,47,E3,P,1,0
TP-2003-210788,A1199,0.2,Al 2017-T4,2.796,0.01173,0,5.7,Al 6061-T6,0.016,2.713,6.4,Al 2024-T3,0.483,2.796,47,E1,NP,0,0
TP-2003-210788,A1211,0.2,Al 2017-T4,2.796,0.01173,0,5.06,Al 6061-T6,0.036,2.713,6.4,Al 2024-T3,0.483,2.796,47,E1,NP,0,0
TP-2003-210788,A1221,0.2,Al 2017-T4,2.796,0.01173,0,5.42,Al 6061-T6,0.036,2.713,6.4,Al 2024-T3,0.318,2.796,47,E1,NP,0,0
TP-2003-210788,A1222,0.2,Al 2017-T4,2.796,0.01173,0,4.48,Al 6061-T6,0.036,2.713,6.4,Al 2024-T3,0.318,2.796,47,E2,NP,0,0
TP-2003-210788,A1210,0.318,Al 2017-T4,2.796,0.04715,0,6.27,Al 6061-T6,0.051,2.713,10.18,Al 2024-T3,0.2,2.796,47,E3,SP,0,1
TP-2003-210788,A481,0.318,Al 2017-T4,2.796,0.04715,0,6.38,Al 6061-T6,0.057,2.713,12.72,Al 6061-T6,0.127,2.713,36,E2,NP,0,0
TP-2003-210788,A1193,0.318,Al 2017-T4,2.796,0.04715,0,6.25,Al 6061-T6,0.051,2.713,10.18,Al 6061-T6,0.2,2.713,36,E3,P,1,0
TP-2003-210788,A1114,0.318,Al 2017-T4,2.796,0.04715,0,6.21,Al 6061-T6,0.051,2.713,10.18,Al 2024-T3,0.159,2.796,47,E3,P,1,0
TP-2003-210788,MD13,0.884,Al 99.9%,2.78,0.97661,0,7.15,Alclad 7075-T6,0.08,2.78,35.36,Al 2024-T351,0.792,2.796,47,D2,NP,0,0
TP-2003-210788,MD12,0.884,Al 99.9%,2.78,0.97661,0,7.16,Alclad 7075-T6,0.08,2.78,26.52,Al 2024-T351,0.655,2.796,47,D3,SP,0,1
TP-2003-210788,MD14,0.884,Al 99.9%,2.78,0.97661,0,7.27,Alclad 7075-T6,0.044,2.78,26.52,Al 2024-T351,1.26,2.796,47,D3,SP,0,1
TP-2003-210788,MD15,0.884,Al 99.9%,2.78,0.97661,0,7.08,Alclad 7075-T6,0.23,2.78,26.52,Al 2024-T351,0.201,2.796,47,E1,NP,0,0
TP-2003-210788,MD11,0.884,Al 99.9%,2.78,0.97661,0,7.09,Alclad 7075-T6,0.08,2.78,13.26,Al 2024-T351,1.618,2.796,47,E3,SP,0,1
TP-2003-210788,A1894,0.953,Al 2017-T4,2.796,1.26892,45,6.74,Alclad 7075-T6,0.162,2.78,30.5,Al 2024-T351,0.792,2.796,47,C4,P,1,0
TP-2003-210788,1487,0.04,Al 6061-T6,2.713,0.00009,0,7.3,Al 3003-H12,0.01,2.74,1.27,Al 3003-H12,0.015,2.74,18,F3,P,1,0
TP-2003-210788,1481,0.04,Al 2017-T4,2.796,0.00009,0,7.1,Al 3003-H12,0.01,2.74,1.27,Al 3003-H12,0.01,2.74,18,F4,P,1,0
TP-2003-210788,1476,0.04,Al 2017-T4,2.796,0.00009,0,8.06,Al 3003-H14,0.01,2.74,1.27,Al 3003-H14,0.027,2.74,21,F2,NP,0,0
TP-2003-210788,4613,0.079,Glass,2.25,0.00058,0,7.13,Alclad 7075-T6,0.025,2.78,5.08,Al 2024-T3,0.025,2.796,47,E1,NP,0,0
TP-2003-210788,4637,0.079,Glass,2.25,0.00058,0,7.22,Alclad 7075-T6,0.015,2.78,5.08,Al 2024-T3,0.025,2.796,47,E4,P,1,0
TP-2003-210788,4638,0.079,Glass,2.25,0.00058,0,7.53,Alclad 7075-T6,0.015,2.78,7.62,Al 2024-T3,0.025,2.796,47,E4,P,1,0
TP-2003-210788,A250,0.079,Glass,2.25,0.00058,0,6.52,Alclad 7075-T6,0.03,2.78,2.54,Al 7075-T6,0.03,2.78,70,E2,NP,0,0
TP-2003-210788,A201,0.079,Glass,2.25,0.00058,0,6.7,Alclad 7075-T6,0.03,2.78,7.62,Al 1100-H14,0.03,2.71,17,E4,P,1,0
TP-2003-210788,4681,0.079,Al 6061-T6,2.713,0.0007,0,7.34,Alclad 7075-T6,0.051,2.78,2.54,Al 2024-T3,0.041,2.796,47,D2,NP,0,0
TP-2003-210788,4679,0.079,Al 6061-T6,2.713,0.0007,0,7.16,Alclad 7075-T6,0.051,2.78,7.62,Al 2024-T3,0.025,2.796,47,D2,NP,0,0
TP-2003-210788,4658,0.079,Al 6061-T6,2.713,0.0007,0,7.25,Alclad 7075-T6,0.015,2.78,5.08,Al 2024-T3,0.025,2.796,47,E4,P,1,0
TP-2003-210788,1435,0.08,Al 2017-T4,2.796,0.00075,0,6.52,Al 6061-T6,0.015,2.713,2.54,Al 2024-T3,0.03,2.796,47,E2,NP,0,0
TP-2003-210788,1468,0.081,Al 2017-T4,2.796,0.00078,0,6.7,Al 6061-T6,0.015,2.713,2.54,Al 2024-T3,0.03,2.796,47,E2,NP,0,0
TP-2003-210788,4706,0.159,Glass,2.25,0.00469,0,7.26,Alclad 7075-T6,0.025,2.78,7.62,Al 2024-T3,0.041,2.796,47,E4,P,1,0
TP-2003-210788,4738,0.159,Al 6061-T6,2.713,0.00568,0,7.2,Alclad 7075-T6,0.051,2.78,5.08,Al 2024-T3,0.064,2.796,47,E1,NP,0,0
TP-2003-210788,4736,0.159,Al 6061-T6,2.713,0.00568,0,7.31,Alclad 7075-T6,0.051,2.78,7.62,Al 2024-T3,0.041,2.796,47,E4,P,1,0
TP-2003-210788,A1200,0.2,Al 2017-T4,2.796,0.01173,0,6.93,Alclad 7075-T6,0.015,2.78,6.4,Al 6061-T6,0.483,2.713,36,E1,NP,0,0
TP-2003-210788,A1218,0.2,Al 2017-T4,2.796,0.01173,0,6.93,Alclad 7075-T6,0.015,2.78,6.4,Al 2024-T3,0.318,2.796,47,D3,SP,0,1
TP-2003-210788,A1196,0.2,Al 2017-T4,2.796,0.01173,0,7.2,Alclad 7075-T6,0.036,2.78,6.4,Al 2024-T3,0.159,2.796,47,E2,NP,0,0
TP-2003-210788,A1076,0.2,Al 2017-T4,2.796,0.01173,0,6.37,Al 6061-T6,0.064,2.713,6,Al 6061-T6,0.041,2.713,36,E4,P,1,0
TP-2003-210788,A1077,0.2,Al 2017-T4,2.796,0.01173,0,6.77,Al 6061-T6,0.41,2.713,6,Al 6061-T6,0.064,2.713,36,E2,NP,0,0
TP-2003-210788,A1281,0.318,Nylon,1.145,0.01919,0,6.7,Al 6061-T6,0.025,2.713,10.16,Al 2024-T3,0.081,2.796,47,E4,P,1,0
TP-2003-210788,A235,0.318,Al 99.9%,2.78,0.04546,0,6.98,Alclad 7075-T6,0.056,2.78,10.16,Al 2024-T3,0.159,2.796,47,E3,NP,0,0
TP-2003-210788,A240,0.318,Al 99.9%,2.78,0.04546,0,6.58,Alclad 7075-T6,0.081,2.78,10.16,Al 2024-T3,0.127,2.796,47,E2,NP,0,0
TP-2003-210788,A151,0.318,Al 6061-T6,2.713,0.04546,0,6.6,Alclad 7075-T6,0.081,2.78,5.08,Al 2024-T3,0.127,2.796,47,D4,SP,0,1
TP-2003-210788,B31,0.635,Al 2017-T4,2.796,0.37539,0,7.08,Al 6061-T6,0.127,2.713,20.32,Al 6061-T6,0.36,2.713,36,E2,NP,0,0
TP-2003-210788,B37,0.635,Al 2017-T4,2.796,0.37539,0,6.39,Al 2024-T3,0.159,2.796,10.16,Al 6061-T6,0.5,2.713,36,E4,P,1,0
TP-2003-210788,85-24F,0.635,Al 99.9%,2.78,0.36198,0,6,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.852,52,E2,NP,0,0
TP-2003-210788,85-13,0.635,Al 99.9%,2.78,0.36198,0,5.88,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.852,52,E2,NP,0,0
TP-2003-210788,85-16,0.762,Al 99.9%,2.78,0.6255,0,7,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.852,52,E2,NP,0,0
TP-2003-210788,85-20C,0.762,Al 99.9%,2.78,0.6255,0,6.4,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.852,52,D4,SP,0,1
TP-2003-210788,86-2,0.793,Al 99.9%,2.78,0.70499,0,6.98,Al 6061-T6,0.159,2.713,10.16,Al 2219-T87,0.318,2.852,52,F5,P,1,0
TP-2003-210788,86-1,0.793,Al 99.9%,2.78,0.70499,0,6.9,Al 6061-T6,0.159,2.713,10.16,Al 2219-T87,0.318,2.852,52,F5,P,1,0
TP-2003-210788,A1895,0.953,Al 2017-T4,2.796,1.26892,0,6.89,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.713,36,F3,NP,0,0
