source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-4343,135C,AA1100-O,2.71,0.635,30,6.67,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,136C,AA1100-O,2.71,0.635,55,6.67,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
Piekutowski_CR-4707,4-1290,AA2017-T4,2.8,0.953,0,6.67,AA1100-O,2.71,0.03,38.1,AA6061-T651,2.7,40,0.635,P,1
GM-DRL-TR-63-225,D-286,AA2017-T4,2.8,0.318,0,6.66,AA2024-T3,2.77,0.16,5.08,AA2024-T3,2.77,50,5.08,NP,0
CR-4343,106A,AA1100-O,2.71,0.953,60,6.66,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
Piekutowski_CR-4707,4-1351,AA2017-T4,2.8,0.935,0,6.66,AA6061-T6,2.7,0.222,38.1,AA5456-H116,2.66,37,0.318,P,1
CR-4343,106-2,AA1100-O,2.71,0.889,65,6.65,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,NP,0
TP-2003-210788,A86/3,AA2017-T4,2.8,0.953,0,6.65,Alclad 7075-T6,2.8,0.159,30.48,AA2024-T3,2.77,50,0.229,NP,0
TP-2003-210788,A86/1,AA2017-T4,2.8,0.953,0,6.65,Alclad 7075-T6,2.8,0.159,30.48,AA2024-T351,2.77,57,0.635,NP,0
TP-2003-210788,A86/2,AA2017-T4,2.8,0.953,0,6.64,Alclad 7075-T6,2.8,0.318,30.48,AA2024-T3,2.77,50,0.229,NP,0
CR-4343,EH3A,AA1100-O,2.71,0.795,0,6.64,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,EHSS6C,AA1100-O,2.71,0.795,0,6.64,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
Piekutowski_CR-4707,4-1352,AA2017-T4,2.8,0.935,0,6.64,AA6061-T6,2.7,0.223,38.1,AA5456-H116,2.66,37,0.318,P,1
TP-2003-210788,B386,AA2017-T4,2.8,0.476,50,6.64,Alclad 7075-T6,2.8,0.16,10.16,Alclad 7075-T6,2.8,67,0.302,P,1
AFML-TR-68-257,2479,AA2017-T4,2.8,0.318,0,6.63,AA6061-T6,2.7,0.084,5.08,AA6061-T6,2.7,40,0.152,NP,0
CR-4343,P-21,AA1100-O,2.71,0.762,0,6.63,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,P-20C,AA1100-O,2.71,0.762,0,6.63,AA6061-T6,2.7,0.16,15.24,AA2219-T87,2.84,57,0.318,P,1
CR-4343,P-16C,AA6061-T6,2.7,0.762,0,6.63,AA6061-T6,2.7,0.16,15.24,AA2219-T87,2.84,57,0.318,P,1
