source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,foam_mat,foam_relDensity,foam_poreSize,foam_density,standoff,bumper_mat,bumper_thick,bumper_density,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,,%,PPI,g/cm3,cm,-,cm,g/cm3,,g/cm3,ksi,cm,-,
NASA-TM-2015-218593,9375,AA2017-T4,2.8,0.28,0,6.64,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,3148-2,AA2017-T4,2.8,0.13,45,6.9,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,5045-1,AA2017-T4,2.8,0.14,45,7.02,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,3148-1,AA2017-T4,2.8,0.12,45,7.13,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,3148-4,AA2017-T4,2.8,0.14,60,6.85,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,5045-2,AA2017-T4,2.8,0.15,60,6.91,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,3148-3,AA2017-T4,2.8,0.13,60,6.97,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8589,AA2017-T4,2.8,0.13,0,2.43,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8571,AA2017-T4,2.8,0.14,45,6.68,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8581,AA2017-T4,2.8,0.2,60,2.28,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8580,AA2017-T4,2.8,0.18,60,6.79,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8268,AA2017-T4,2.8,0.25,45,6.62,AA6106-T6,7,10,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,8425,AA2017-T4,2.8,0.23,0,4.71,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8254,AA2017-T4,2.8,0.19,0,6.87,AA6106-T6,7,20,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,8256,AA2017-T4,2.8,0.23,45,6.88,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8260,AA2017-T4,2.8,0.32,60,6.68,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8258,AA2017-T4,2.8,0.3,60,7.13,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8567,AA2017-T4,2.8,0.19,0,2.2,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,9072,AA2017-T4,2.8,0.22,0,3.11,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9357,AA2017-T4,2.8,0.24,0,3.25,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8585,AA2017-T4,2.8,0.2,0,4.43,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9073,AA2017-T4,2.8,0.22,0,5.36,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8568,AA2017-T4,2.8,0.2,0,6.63,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9374,AA2017-T4,2.8,0.26,0,6.66,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0508,NP,0
NASA-TM-2015-218593,9074,AA2017-T4,2.8,0.198,0,7.56,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8421,AA2017-T4,2.8,0.22,45,2.68,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9075,AA2017-T4,2.8,0.25,45,3.76,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8428,AA2017-T4,2.8,0.28,45,4.76,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8427,AA2017-T4,2.8,0.26,45,4.78,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9362,AA2017-T4,2.8,0.29,45,5.5,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9065,AA2017-T4,2.8,0.27,45,6.7,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8270,AA2017-T4,2.8,0.25,45,6.78,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,9068,AA2017-T4,2.8,0.27,45,6.79,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9066,AA2017-T4,2.8,0.27,45,6.86,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8271,AA2017-T4,2.8,0.27,45,6.99,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,9067,AA2017-T4,2.8,0.27,45,7.11,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9363,AA2017-T4,2.8,0.25,45,7.19,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8267,AA2017-T4,2.8,0.32,60,6.57,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,NP,0
NASA-TM-2015-218593,9007,AA2017-T4,2.8,0.34,60,6.91,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8583,AA2017-T4,2.8,0.21,0,2.35,AA6106-T6,4,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8575,AA2017-T4,2.8,0.34,60,6.88,AA6106-T6,4,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8590,AA2017-T4,2.8,0.397,0,2.7,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,4156,AA2017-T4,2.8,0.396875,45,6.84,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,9220,AA2017-T4,2.8,0.597,60,2.74,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8591,AA2017-T4,2.8,0.57,60,6.74,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8614,AA2017-T4,2.8,0.6,60,6.74,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,
